,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,id,description,steam_appid
0,0.0,0.0,0.0,0.0,0.0,2,Single-player,1877200
1,1.0,1.0,1.0,1.0,1.0,21,Downloadable Content,1877200
2,2.0,2.0,2.0,2.0,2.0,23,Steam Cloud,1877200
3,3.0,3.0,3.0,3.0,0.0,10,Game demo,1877220
4,4.0,4.0,4.0,4.0,0.0,1,Multi-player,1877250
5,5.0,5.0,5.0,5.0,1.0,9,Co-op,1877250
6,6.0,6.0,6.0,6.0,2.0,38,Online Co-op,1877250
7,7.0,7.0,7.0,7.0,3.0,22,Steam Achievements,1877250
8,8.0,8.0,8.0,8.0,4.0,28,Full controller support,1877250
9,9.0,9.0,9.0,9.0,5.0,23,Steam Cloud,1877250
10,10.0,10.0,10.0,10.0,0.0,2,Single-player,1877300
11,11.0,11.0,11.0,11.0,1.0,23,Steam Cloud,1877300
12,12.0,12.0,12.0,12.0,0.0,2,Single-player,1877310
13,13.0,13.0,13.0,13.0,1.0,10,Game demo,1877310
14,14.0,14.0,14.0,14.0,0.0,2,Single-player,1877330
15,15.0,15.0,15.0,15.0,1.0,18,Partial Controller Support,1877330
16,16.0,16.0,16.0,16.0,0.0,2,Single-player,1877350
17,17.0,17.0,17.0,17.0,1.0,22,Steam Achievements,1877350
18,18.0,18.0,18.0,18.0,2.0,18,Partial Controller Support,1877350
19,19.0,19.0,19.0,19.0,3.0,23,Steam Cloud,1877350
20,20.0,20.0,20.0,20.0,0.0,2,Single-player,1877360
21,21.0,21.0,21.0,21.0,1.0,1,Multi-player,1877360
22,22.0,22.0,22.0,22.0,2.0,9,Co-op,1877360
23,23.0,23.0,23.0,23.0,3.0,38,Online Co-op,1877360
24,24.0,24.0,24.0,24.0,4.0,22,Steam Achievements,1877360
25,25.0,25.0,25.0,25.0,5.0,18,Partial Controller Support,1877360
26,26.0,26.0,26.0,26.0,0.0,2,Single-player,1877370
27,27.0,27.0,27.0,27.0,1.0,1,Multi-player,1877370
28,28.0,28.0,28.0,28.0,2.0,49,PvP,1877370
29,29.0,29.0,29.0,29.0,3.0,37,Shared/Split Screen PvP,1877370
30,30.0,30.0,30.0,30.0,4.0,9,Co-op,1877370
31,31.0,31.0,31.0,31.0,5.0,39,Shared/Split Screen Co-op,1877370
32,32.0,32.0,32.0,32.0,6.0,24,Shared/Split Screen,1877370
33,33.0,33.0,33.0,33.0,7.0,22,Steam Achievements,1877370
34,34.0,34.0,34.0,34.0,8.0,28,Full controller support,1877370
35,35.0,35.0,35.0,35.0,9.0,15,Stats,1877370
36,36.0,36.0,36.0,36.0,10.0,17,Includes level editor,1877370
37,37.0,37.0,37.0,37.0,11.0,44,Remote Play Together,1877370
38,38.0,38.0,38.0,38.0,0.0,2,Single-player,1877410
39,39.0,39.0,39.0,39.0,0.0,2,Single-player,1877440
40,40.0,40.0,40.0,40.0,1.0,23,Steam Cloud,1877440
41,41.0,41.0,41.0,41.0,0.0,2,Single-player,1877450
42,42.0,42.0,42.0,42.0,1.0,10,Game demo,1877450
43,43.0,43.0,43.0,43.0,0.0,2,Single-player,1877460
44,44.0,44.0,44.0,44.0,1.0,22,Steam Achievements,1877460
45,45.0,45.0,45.0,45.0,0.0,2,Single-player,1877470
46,46.0,46.0,46.0,46.0,1.0,10,Game demo,1877470
47,47.0,47.0,47.0,47.0,2.0,28,Full controller support,1877470
48,48.0,48.0,48.0,48.0,0.0,2,Single-player,1877480
49,49.0,49.0,49.0,49.0,1.0,22,Steam Achievements,1877480
50,50.0,50.0,50.0,50.0,2.0,28,Full controller support,1877480
51,51.0,51.0,51.0,51.0,3.0,23,Steam Cloud,1877480
52,52.0,52.0,52.0,52.0,0.0,2,Single-player,1877510
53,53.0,53.0,53.0,53.0,1.0,22,Steam Achievements,1877510
54,54.0,54.0,54.0,54.0,2.0,28,Full controller support,1877510
55,55.0,55.0,55.0,55.0,0.0,2,Single-player,1877520
56,56.0,56.0,56.0,56.0,0.0,2,Single-player,1877530
57,57.0,57.0,57.0,57.0,1.0,10,Game demo,1877530
58,58.0,58.0,58.0,58.0,2.0,28,Full controller support,1877530
59,59.0,59.0,59.0,59.0,0.0,2,Single-player,1877540
60,60.0,60.0,60.0,60.0,1.0,21,Downloadable Content,1877540
61,61.0,61.0,61.0,61.0,0.0,2,Single-player,1877550
62,62.0,62.0,62.0,62.0,1.0,21,Downloadable Content,1877550
63,63.0,63.0,63.0,63.0,0.0,2,Single-player,1877580
64,64.0,64.0,64.0,64.0,0.0,2,Single-player,1877650
65,65.0,65.0,65.0,65.0,0.0,2,Single-player,1877710
