,id,description,steam_appid
0,4,Casual,612440
1,37,Free to Play,612440
0,23,Indie,612470
1,28,Simulation,612470
2,2,Strategy,612470
0,25,Adventure,612491
1,3,RPG,612491
0,23,Indie,612500
1,3,RPG,612500
2,2,Strategy,612500
0,4,Casual,612510
1,23,Indie,612510
2,2,Strategy,612510
0,2,Strategy,612520
0,2,Strategy,612540
0,23,Indie,612570
1,2,Strategy,612570
0,23,Indie,612580
1,3,RPG,612580
2,2,Strategy,612580
0,4,Casual,612590
1,37,Free to Play,612590
2,23,Indie,612590
0,1,Action,612600
1,23,Indie,612600
2,28,Simulation,612600
3,18,Sports,612600
4,70,Early Access,612600
0,1,Action,612610
1,37,Free to Play,612610
2,23,Indie,612610
3,70,Early Access,612610
0,25,Adventure,612620
1,4,Casual,612620
2,37,Free to Play,612620
3,23,Indie,612620
0,1,Action,612640
1,23,Indie,612640
2,18,Sports,612640
0,25,Adventure,612650
1,23,Indie,612650
0,1,Action,612660
1,25,Adventure,612660
2,4,Casual,612660
3,23,Indie,612660
4,70,Early Access,612660
0,1,Action,612670
1,25,Adventure,612670
2,23,Indie,612670
3,3,RPG,612670
0,23,Indie,612720
1,3,RPG,612720
2,28,Simulation,612720
3,2,Strategy,612720
4,70,Early Access,612720
0,80,Movie,612730
0,25,Adventure,612740
1,23,Indie,612740
0,2,Strategy,612750
0,37,Free to Play,612790
0,1,Action,612810
1,25,Adventure,612810
2,4,Casual,612810
3,3,RPG,612810
0,1,Action,612820
1,3,RPG,612820
0,25,Adventure,612830
1,23,Indie,612830
0,4,Casual,612840
1,23,Indie,612840
2,28,Simulation,612840
0,25,Adventure,612850
1,23,Indie,612850
2,3,RPG,612850
0,25,Adventure,612870
1,23,Indie,612870
0,1,Action,612880
0,4,Casual,612890
1,23,Indie,612890
0,73,Violent,612900
1,1,Action,612900
2,3,RPG,612900
0,1,Action,611960
1,4,Casual,611960
2,23,Indie,611960
3,28,Simulation,611960
0,1,Action,611970
1,23,Indie,611970
2,3,RPG,611970
3,70,Early Access,611970
0,4,Casual,611980
1,23,Indie,611980
0,1,Action,612000
1,23,Indie,612000
0,73,Violent,612010
1,1,Action,612010
2,4,Casual,612010
3,70,Early Access,612010
0,4,Casual,612020
1,37,Free to Play,612020
2,23,Indie,612020
3,2,Strategy,612020
0,28,Simulation,612030
0,1,Action,612040
1,4,Casual,612040
2,23,Indie,612040
0,37,Free to Play,612050
1,28,Simulation,612050
0,4,Casual,612060
1,23,Indie,612060
2,3,RPG,612060
3,28,Simulation,612060
0,25,Adventure,612070
1,23,Indie,612070
2,3,RPG,612070
0,4,Casual,612100
1,23,Indie,612100
0,25,Adventure,612110
1,4,Casual,612110
2,23,Indie,612110
0,72,Nudity,612120
1,73,Violent,612120
2,1,Action,612120
3,25,Adventure,612120
4,23,Indie,612120
0,25,Adventure,612130
1,4,Casual,612130
2,23,Indie,612130
0,25,Adventure,612140
1,23,Indie,612140
0,1,Action,612150
1,23,Indie,612150
2,2,Strategy,612150
0,1,Action,612160
0,25,Adventure,612170
1,23,Indie,612170
0,73,Violent,612180
1,1,Action,612180
2,25,Adventure,612180
3,23,Indie,612180
0,73,Violent,612190
1,74,Gore,612190
2,1,Action,612190
3,25,Adventure,612190
4,23,Indie,612190
5,28,Simulation,612190
0,28,Simulation,612200
0,23,Indie,612210
1,28,Simulation,612210
0,1,Action,612220
1,25,Adventure,612220
2,3,RPG,612220
3,70,Early Access,612220
0,1,Action,612230
1,37,Free to Play,612230
2,29,Massively Multiplayer,612230
0,1,Action,612240
1,37,Free to Play,612240
2,29,Massively Multiplayer,612240
3,28,Simulation,612240
0,1,Action,612250
1,23,Indie,612250
2,28,Simulation,612250
3,70,Early Access,612250
0,28,Simulation,612260
0,28,Simulation,612261
0,25,Adventure,612280
1,4,Casual,612280
0,2,Strategy,612300
0,4,Casual,612310
1,23,Indie,612310
2,28,Simulation,612310
3,2,Strategy,612310
0,71,Sexual Content,612330
1,73,Violent,612330
2,74,Gore,612330
3,25,Adventure,612330
4,23,Indie,612330
0,1,Action,612370
1,9,Racing,612370
0,4,Casual,612380
1,23,Indie,612380
2,2,Strategy,612380
0,1,Action,612390
1,23,Indie,612390
0,1,Action,612400
1,25,Adventure,612400
2,4,Casual,612400
3,23,Indie,612400
0,72,Nudity,612420
1,73,Violent,612420
2,74,Gore,612420
3,1,Action,612420
4,3,RPG,612420
0,74,Gore,611620
1,1,Action,611620
2,25,Adventure,611620
3,23,Indie,611620
0,1,Action,611630
1,25,Adventure,611630
2,4,Casual,611630
3,23,Indie,611630
4,2,Strategy,611630
0,73,Violent,611640
1,74,Gore,611640
2,23,Indie,611640
0,73,Violent,611650
1,74,Gore,611650
2,23,Indie,611650
0,3,RPG,611660
0,3,RPG,611670
0,1,Action,611690
1,23,Indie,611690
0,3,RPG,611710
0,1,Action,611720
1,23,Indie,611720
2,28,Simulation,611720
3,18,Sports,611720
4,70,Early Access,611720
0,1,Action,611730
1,23,Indie,611730
0,25,Adventure,611740
1,23,Indie,611740
0,1,Action,611750
1,25,Adventure,611750
2,4,Casual,611750
3,23,Indie,611750
0,25,Adventure,611760
1,23,Indie,611760
0,1,Action,611770
1,23,Indie,611770
0,25,Adventure,611790
1,4,Casual,611790
2,23,Indie,611790
3,28,Simulation,611790
4,70,Early Access,611790
0,23,Indie,611800
1,29,Massively Multiplayer,611800
2,9,Racing,611800
3,28,Simulation,611800
4,70,Early Access,611800
0,73,Violent,611810
1,74,Gore,611810
2,1,Action,611810
3,25,Adventure,611810
4,4,Casual,611810
5,23,Indie,611810
0,1,Action,611820
1,25,Adventure,611820
2,23,Indie,611820
3,3,RPG,611820
0,1,Action,611830
1,23,Indie,611830
2,29,Massively Multiplayer,611830
0,1,Action,611850
1,23,Indie,611850
0,1,Action,611860
1,25,Adventure,611860
2,23,Indie,611860
0,71,Sexual Content,611950
1,72,Nudity,611950
0,1,Action,611500
1,37,Free to Play,611500
2,70,Early Access,611500
0,4,Casual,611550
1,23,Indie,611550
0,73,Violent,611220
1,74,Gore,611220
2,1,Action,611220
3,25,Adventure,611220
4,23,Indie,611220
0,1,Action,611230
1,25,Adventure,611230
2,23,Indie,611230
3,70,Early Access,611230
0,23,Indie,611250
1,3,RPG,611250
2,2,Strategy,611250
0,1,Action,611260
1,4,Casual,611260
2,23,Indie,611260
3,29,Massively Multiplayer,611260
4,18,Sports,611260
0,23,Indie,611270
1,3,RPG,611270
2,2,Strategy,611270
0,1,Action,611300
1,23,Indie,611300
2,2,Strategy,611300
3,70,Early Access,611300
0,23,Indie,611310
1,3,RPG,611310
2,2,Strategy,611310
0,4,Casual,611320
1,23,Indie,611320
2,2,Strategy,611320
0,1,Action,611350
1,23,Indie,611350
0,1,Action,611360
1,37,Free to Play,611360
2,23,Indie,611360
3,70,Early Access,611360
0,25,Adventure,611370
1,3,RPG,611370
0,25,Adventure,611390
1,4,Casual,611390
2,23,Indie,611390
3,28,Simulation,611390
0,28,Simulation,611400
1,2,Strategy,611400
0,28,Simulation,611420
1,2,Strategy,611420
0,28,Simulation,611421
1,2,Strategy,611421
0,25,Adventure,610740
1,23,Indie,610740
2,3,RPG,610740
0,25,Adventure,610750
1,4,Casual,610750
2,23,Indie,610750
0,23,Indie,610760
1,3,RPG,610760
2,2,Strategy,610760
0,1,Action,610780
1,9,Racing,610780
2,28,Simulation,610780
3,18,Sports,610780
0,80,Movie,610790
0,25,Adventure,610810
1,4,Casual,610810
2,23,Indie,610810
3,28,Simulation,610810
0,4,Casual,610820
1,23,Indie,610820
0,23,Indie,610830
1,3,RPG,610830
2,2,Strategy,610830
0,1,Action,610840
1,23,Indie,610840
0,23,Indie,610850
1,3,RPG,610850
2,2,Strategy,610850
0,1,Action,610860
1,25,Adventure,610860
2,2,Strategy,610860
0,23,Indie,610870
1,3,RPG,610870
2,2,Strategy,610870
0,25,Adventure,610900
0,28,Simulation,610910
0,1,Action,610940
0,1,Action,610960
1,25,Adventure,610960
2,23,Indie,610960
3,3,RPG,610960
0,28,Simulation,610970
0,25,Adventure,610980
1,23,Indie,610980
