,id,name,thumbnail,highlight,webm.480,webm.max,mp4.480,mp4.max,steam_appid
0,256681637,Launch Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681637/movie.293x165.jpg?t=1491481871,True,http://cdn.akamai.steamstatic.com/steam/apps/256681637/movie480.webm?t=1491481871,http://cdn.akamai.steamstatic.com/steam/apps/256681637/movie_max.webm?t=1491481871,http://cdn.akamai.steamstatic.com/steam/apps/256681637/movie480.mp4?t=1491481871,http://cdn.akamai.steamstatic.com/steam/apps/256681637/movie_max.mp4?t=1491481871,612440
0,256710576,Full Launch Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256710576/movie.293x165.jpg?t=1520512206,True,http://cdn.akamai.steamstatic.com/steam/apps/256710576/movie480.webm?t=1520512206,http://cdn.akamai.steamstatic.com/steam/apps/256710576/movie_max.webm?t=1520512206,http://cdn.akamai.steamstatic.com/steam/apps/256710576/movie480.mp4?t=1520512206,http://cdn.akamai.steamstatic.com/steam/apps/256710576/movie_max.mp4?t=1520512206,612470
1,256682643,Official Launch Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256682643/movie.293x165.jpg?t=1495113195,True,http://cdn.akamai.steamstatic.com/steam/apps/256682643/movie480.webm?t=1495113195,http://cdn.akamai.steamstatic.com/steam/apps/256682643/movie_max.webm?t=1495113195,http://cdn.akamai.steamstatic.com/steam/apps/256682643/movie480.mp4?t=1495113195,http://cdn.akamai.steamstatic.com/steam/apps/256682643/movie_max.mp4?t=1495113195,612470
0,256692333,Intro,https://cdn.akamai.steamstatic.com/steam/apps/256692333/movie.293x165.jpg?t=1503102674,True,http://cdn.akamai.steamstatic.com/steam/apps/256692333/movie480.webm?t=1503102674,http://cdn.akamai.steamstatic.com/steam/apps/256692333/movie_max.webm?t=1503102674,http://cdn.akamai.steamstatic.com/steam/apps/256692333/movie480.mp4?t=1503102674,http://cdn.akamai.steamstatic.com/steam/apps/256692333/movie_max.mp4?t=1503102674,612510
0,256832737,Gameplay Trailer April 2021,https://cdn.akamai.steamstatic.com/steam/apps/256832737/movie.293x165.jpg?t=1619716151,True,http://cdn.akamai.steamstatic.com/steam/apps/256832737/movie480_vp9.webm?t=1619716151,http://cdn.akamai.steamstatic.com/steam/apps/256832737/movie_max_vp9.webm?t=1619716151,http://cdn.akamai.steamstatic.com/steam/apps/256832737/movie480.mp4?t=1619716151,http://cdn.akamai.steamstatic.com/steam/apps/256832737/movie_max.mp4?t=1619716151,612570
1,256781901,Release Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256781901/movie.293x165.jpg?t=1587053649,True,http://cdn.akamai.steamstatic.com/steam/apps/256781901/movie480_vp9.webm?t=1587053649,http://cdn.akamai.steamstatic.com/steam/apps/256781901/movie_max_vp9.webm?t=1587053649,http://cdn.akamai.steamstatic.com/steam/apps/256781901/movie480.mp4?t=1587053649,http://cdn.akamai.steamstatic.com/steam/apps/256781901/movie_max.mp4?t=1587053649,612570
0,256681936,Mouse Playhouse Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681936/movie.293x165.jpg?t=1490901859,True,http://cdn.akamai.steamstatic.com/steam/apps/256681936/movie480.webm?t=1490901859,http://cdn.akamai.steamstatic.com/steam/apps/256681936/movie_max.webm?t=1490901859,http://cdn.akamai.steamstatic.com/steam/apps/256681936/movie480.mp4?t=1490901859,http://cdn.akamai.steamstatic.com/steam/apps/256681936/movie_max.mp4?t=1490901859,612590
1,256681942,Mouse Playhouse - Gameplay Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681942/movie.293x165.jpg?t=1490901869,True,http://cdn.akamai.steamstatic.com/steam/apps/256681942/movie480.webm?t=1490901869,http://cdn.akamai.steamstatic.com/steam/apps/256681942/movie_max.webm?t=1490901869,http://cdn.akamai.steamstatic.com/steam/apps/256681942/movie480.mp4?t=1490901869,http://cdn.akamai.steamstatic.com/steam/apps/256681942/movie_max.mp4?t=1490901869,612590
0,256681787,Drone Fighters Trailer,https://cdn.akamai.steamstatic.com/steam/apps/256681787/movie.293x165.jpg?t=1492789159,True,http://cdn.akamai.steamstatic.com/steam/apps/256681787/movie480.webm?t=1492789159,http://cdn.akamai.steamstatic.com/steam/apps/256681787/movie_max.webm?t=1492789159,http://cdn.akamai.steamstatic.com/steam/apps/256681787/movie480.mp4?t=1492789159,http://cdn.akamai.steamstatic.com/steam/apps/256681787/movie_max.mp4?t=1492789159,612600
0,256684298,Bombinator - Game Play - Map 6x6 - Theme Wild West,https://cdn.akamai.steamstatic.com/steam/apps/256684298/movie.293x165.jpg?t=1494013587,True,http://cdn.akamai.steamstatic.com/steam/apps/256684298/movie480.webm?t=1494013587,http://cdn.akamai.steamstatic.com/steam/apps/256684298/movie_max.webm?t=1494013587,http://cdn.akamai.steamstatic.com/steam/apps/256684298/movie480.mp4?t=1494013587,http://cdn.akamai.steamstatic.com/steam/apps/256684298/movie_max.mp4?t=1494013587,612610
